imgpath,protest,violence,sign,photo,fire,police,children,group_20,group_100,flag,night,shouting
./UCLA-protest/img/test\test-00000.jpg,0.9831866025924683,0.3460279107093811,0.97462397813797,0.06386826187372208,0.00911810714751482,0.023375369608402252,0.017505653202533722,0.7818030118942261,0.18446259200572968,0.022880200296640396,0.5005610585212708,0.030474284663796425
./UCLA-protest/img/test\test-00001.jpg,1.896634239528794e-05,0.00010264194861520082,1.672682810749393e-05,1.552977664687205e-05,1.9631154373200843e-06,4.815615284314845e-06,5.018471256335033e-06,2.0305376892792992e-05,7.791129064571578e-06,7.217167421913473e-06,5.784599579783389e-06,1.0241210475214757e-05
./UCLA-protest/img/test\test-00002.jpg,0.987798810005188,0.16812491416931152,0.9859054684638977,0.04128510504961014,0.001177700120024383,0.0008284784853458405,0.031024031341075897,0.5854524374008179,0.038908932358026505,0.013537413440644741,0.007206932175904512,0.01071128249168396
./UCLA-protest/img/test\test-00003.jpg,0.0005069317994639277,0.0015714539913460612,0.0007207449525594711,0.0012178417528048158,0.00023650082584936172,0.0003360358241479844,0.0005864763516001403,0.0004935892065986991,0.00027330833836458623,0.00022789811191614717,0.0005693364655598998,0.00044566765427589417
./UCLA-protest/img/test\test-00004.jpg,0.20774371922016144,0.04598293825984001,0.18432548642158508,0.011016728356480598,0.006742328405380249,0.0026071611791849136,0.0059404438361525536,0.05332345515489578,0.010942956432700157,0.0035507269203662872,0.02118312567472458,0.005083836615085602
./UCLA-protest/img/test\test-00005.jpg,3.7126043025637046e-05,0.000220166752114892,2.1485931938514113e-05,1.0142673090740573e-05,9.247999514627736e-06,3.20927138091065e-05,9.817418685997836e-06,3.537975862855092e-05,1.4890023521729745e-05,8.721033736946993e-06,1.5665193132008426e-05,4.758725481224246e-05
./UCLA-protest/img/test\test-00006.jpg,9.79923515842529e-06,3.358071262482554e-05,6.389392183336895e-06,3.855359409499215e-06,3.55046381628199e-07,2.014310666709207e-06,5.364699063648004e-06,6.514882898045471e-06,4.955621534463717e-06,1.4814138467045268e-06,3.2679552077752305e-06,2.597582579255686e-06
./UCLA-protest/img/test\test-00007.jpg,0.08678114414215088,0.040537863969802856,0.07943274080753326,0.00758705846965313,0.017191261053085327,0.015458226203918457,0.00543592544272542,0.08827679604291916,0.08931142836809158,0.026026932522654533,0.22987990081310272,0.009428056888282299
./UCLA-protest/img/test\test-00008.jpg,0.00015929192886687815,0.00041890988359227777,0.00021224666852504015,0.0001377391890855506,1.2958420484210365e-05,6.187889812281355e-05,8.622516179457307e-05,0.00011004611587850377,6.13391530350782e-05,2.2310216081677936e-05,4.698257544077933e-05,4.319104482419789e-05
./UCLA-protest/img/test\test-00009.jpg,0.0028802892193198204,0.002600759733468294,0.0027042480651289225,0.0009588946704752743,0.00022291738423518836,0.0005342731019482017,0.000725644757039845,0.001769192866049707,0.0007434261497110128,0.000462614611024037,0.0011061286786571145,0.0015086763305589557
./UCLA-protest/img/test\test-00010.jpg,0.03918620944023132,0.06576570123434067,0.02668406441807747,0.0038103305269032717,0.001126109273172915,0.004929227754473686,0.0021504724863916636,0.11029478162527084,0.09467094391584396,0.009924435056746006,0.005982677452266216,0.004673568531870842
./UCLA-protest/img/test\test-00011.jpg,0.0005859879893250763,0.0009726277203299105,0.0003523003833834082,5.5795939260860905e-05,4.847208765568212e-05,0.00023147225147113204,6.160000339150429e-05,0.00032973181805573404,0.00018151533731725067,3.975943400291726e-05,0.00023248192155733705,0.0001785862259566784
./UCLA-protest/img/test\test-00012.jpg,0.0003651777806226164,0.00046848965575918555,0.0003548181848600507,6.255288462853059e-05,1.2563139534904622e-05,2.901003426813986e-05,6.468484934885055e-05,0.0002092502691084519,6.780710100429133e-05,1.2108654118492268e-05,5.8319292293163016e-05,4.753336907015182e-05
./UCLA-protest/img/test\test-00013.jpg,0.9544962048530579,0.22803671658039093,0.9401934146881104,0.03733060508966446,0.010833144187927246,0.012592156417667866,0.02379770763218403,0.5283887982368469,0.07426712661981583,0.01571417972445488,0.06152350455522537,0.02370951697230339
./UCLA-protest/img/test\test-00014.jpg,0.00030150613747537136,0.0006751720211468637,0.0003685648844111711,0.00015994030400179327,4.489750062930398e-05,4.8028483433881775e-05,0.0001274732203455642,0.00025097638717852533,0.00015601477934978902,0.00010325924813514575,0.00018985314818564802,0.00012693526514340192
./UCLA-protest/img/test\test-00015.jpg,0.0056168073788285255,0.009163983166217804,0.004267875570803881,0.00041457448969595134,0.0001697687548585236,0.00017034895427059382,0.0002534739614930004,0.009749160148203373,0.007078791037201881,0.00040054498822428286,0.0001831891859183088,0.00015853368677198887
./UCLA-protest/img/test\test-00016.jpg,6.6280108512728475e-06,4.769064980791882e-05,9.388608305016533e-06,1.732969394652173e-05,2.1218602341832593e-06,5.21976699019433e-06,1.2120462997700088e-05,1.150806656369241e-05,1.1787509720306844e-05,4.3795253077405505e-06,1.0150328307645395e-05,7.001166977715911e-06
./UCLA-protest/img/test\test-00017.jpg,2.2217160221771337e-05,8.00067136879079e-05,2.7320917070028372e-05,3.65977430192288e-05,2.7315686565998476e-06,1.0044863302027807e-05,2.1251194993965328e-05,3.2328651286661625e-05,1.951763806573581e-05,1.3593815310741775e-05,9.961344403563999e-06,2.035229408647865e-05
./UCLA-protest/img/test\test-00018.jpg,0.19590045511722565,0.04317392408847809,0.19360826909542084,0.005383719690144062,0.0010709994239732623,0.0019991695880889893,0.007670504506677389,0.04378296062350273,0.00476917764171958,0.0017874805489555001,0.010476567782461643,0.0069508980959653854
./UCLA-protest/img/test\test-00019.jpg,0.00011476263171061873,0.00036639004247263074,0.0001823111524572596,6.0436683270381764e-05,1.8087679563905112e-05,3.188502887496725e-05,4.2902291170321405e-05,0.00022964723757468164,0.00013103154196869582,2.461513395246584e-05,7.60788971092552e-05,6.131844565970823e-05
./UCLA-protest/img/test\test-00020.jpg,0.9982128143310547,0.2735426723957062,0.9961110949516296,0.04107639566063881,0.0004932256997562945,0.001515217823907733,0.02732394076883793,0.9010056853294373,0.23139402270317078,0.026629360392689705,0.013073405250906944,0.015453378669917583
./UCLA-protest/img/test\test-00021.jpg,9.29933667066507e-05,0.00032025427208282053,9.834376396611333e-05,7.96123276813887e-05,3.0863946449244395e-05,4.327048372942954e-05,5.0317506975261495e-05,0.00011665307829389349,7.061637006700039e-05,3.511914110276848e-05,6.768093589926139e-05,7.303860184038058e-05
./UCLA-protest/img/test\test-00022.jpg,0.0015676625771448016,0.001972286030650139,0.0009174611768685281,7.888676918810233e-05,2.6484884074307047e-05,0.00012769279419444501,0.00012204370432300493,0.0010416177101433277,0.0002777249610517174,5.187533315620385e-05,7.814270065864548e-05,0.00027559397858567536
./UCLA-protest/img/test\test-00023.jpg,0.00012152959970990196,0.0003404771850910038,0.00012069186777807772,3.7674151826649904e-05,2.1828856915817596e-05,2.0690480596385896e-05,4.032849028590135e-05,0.00014955192455090582,7.88032339187339e-05,2.158827737730462e-05,8.642379543744028e-05,9.70120236161165e-05
./UCLA-protest/img/test\test-00024.jpg,3.692852942549507e-06,2.674531970114913e-05,4.410415385791566e-06,6.507195848826086e-06,6.240563834580826e-07,2.3996653908398002e-06,3.990918230556417e-06,4.255953626852715e-06,2.2136041479825508e-06,2.378762019361602e-06,2.868687943191617e-06,2.980790213769069e-06
./UCLA-protest/img/test\test-00025.jpg,0.6712172627449036,0.24683266878128052,0.5660478472709656,0.03877381980419159,0.009120623581111431,0.055051110684871674,0.026777375489473343,0.6197330951690674,0.2704060673713684,0.2420061230659485,0.021807806566357613,0.060252975672483444
./UCLA-protest/img/test\test-00026.jpg,0.09247582405805588,0.06429430097341537,0.04505445808172226,0.00795776303857565,0.01711123436689377,0.021288124844431877,0.015766164287924767,0.038979679346084595,0.009198195300996304,0.008517473004758358,0.05435469374060631,0.008737876079976559
./UCLA-protest/img/test\test-00027.jpg,0.843234658241272,0.2754051685333252,0.6944364905357361,0.03264233469963074,0.008004534989595413,0.03272688016295433,0.059840064495801926,0.49714407324790955,0.07829376310110092,0.04369479417800903,0.012552483007311821,0.04065929353237152
./UCLA-protest/img/test\test-00028.jpg,0.989204466342926,0.39301514625549316,0.9721054434776306,0.06955008953809738,0.017271477729082108,0.04121355339884758,0.03409818187355995,0.8318589329719543,0.3043268918991089,0.16983547806739807,0.06828974932432175,0.07130404561758041
